CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
ATOMS/BITS/CIRC & SYS:	
Education for Democracy in Latin America and the U.S.:	
INTEN BEG MOD CHIN I&II:	BEG RDG/WRTG CHINESE I-###-0.2893473097223704---BEGINNING CHINESE III-###-0.6052745756714363---BEGINNING CHINESE IV-###-0.6565331458088502---BEGINNING MOD CHINESE I-###-0.26194308702799707---
URBAN POLITICS IN THE US:	
AFRICAN LANG. & CULTURE:	AFRICAN LANGUAGE AND CULTURE-###-0.9866537048203604---BILINGUALISM IN HISTORY-###-0.25648635427114114---Bilingualism in History-###-0.25648635427114114---
ELEM VIETNAMESE I:	
ORAL HISTORY:	Culture and Identity of the Lusophone World-###-0.28718855716664066---TOPICS IN ROMANTICISM: WORDSWORTH AND COLERIDGE-###-0.31571357284594026---TOPICS FILM STUDIES: DOCUMENTARY CINEMA-###-0.3659929218477113---Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.30969453662272173---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.31934957782444484---Critical Debates in Global Human Rights-###-0.4073146230469373---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.9999999999999999---TPCS 19TH-C AMERICAN LIT-###-0.3044910301832041---20-21ST CENTURY FRENCH NOVEL-###-0.2752936292496476---TPCS 19TH-CENT NOVEL: THE BRONTE SISTERS-###-0.2956642688767662---TOPICS LITERARY THEORY: GLOBAL FEMINISMS-###-0.3744256169335988---TOPICS - ROMANCE: PULP FICTIONS:  POPULAR ROMANCE FROM CHAUCER TO TARANTINO-###-0.28074965712089484---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.30969453662272173---SEMINAR DEVELOP PSYCH: Psychology of Imagination-###-0.7546777811614644---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.30969453662272173---TPCS 18TH-CENTURY NOVEL: BRITISH EPISTOLARY FICT-###-0.2815203728809366---TOPICS IN US HISTORY: EARLY AMERICAN STUDIES-###-0.27486747725189337---GROUNDBREAKING POETS, TRADITIONAL FORMS-###-0.3130347988234332---GLOBAL HEALTH-###-0.36016908153520716---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.30969453662272173---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.30969453662272173---TPCS 18TH-C BRITISH LIT: BEAST CULTURE-###-0.30013528912941995---LITERATURE AND ART IN AFRICA AND THE AFRICAN DIASPORA-###-0.27372570520330175---Neuroscience of Human Motivation and Behavior-###-0.7546777811614644---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.30969453662272173---Sexuality, Terrorism, and Human Rights-###-0.4073146230469373---TOPICS CULTURAL STUDIES: CONTEMP EUROPEAN CINEMA-###-0.38418713833944695---Architecture of Latin American Identities-###-0.30969453662272173---Narratives of Contact: Global Perspectives in Medieval Literature-###-0.28074965712089484---21st Century Latin American Literature-###-0.30969453662272173---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.2919784069513647---SEMINAR ABNORMAL PSYCH-###-0.7546777811614644---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.31934957782444484---MEXICO: REVOLUTION AND CULTURE-###-0.30969453662272173---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.30969453662272173---TOPICS LAW & LITERATURE: PRISON LIT. IN THE U. S.-###-0.35955763377965183---TOPICS POETRY & POETICS: POETRY & THE ENVIRONMENT-###-0.30853288617890456---PIRATES, SINNERS, AND CASTAWAYS:  LITERATURE FROM THE OTHER ATLANTIC-###-0.3044910301832041---SOCIOLOGY OF GLOBAL HEALTH-###-0.36016908153520716---Race, Gender, and Medicine in U.S. History-###-0.27486747725189337---TOPICS 18TH-CENT NOVEL: PAMELA CRAZE-###-0.2815203728809366---SUFISM AND RESISTANCE: Lit in Translation-Sufism and Resistance-###-0.38765489277121595---NO BENCH BY THE ROAD:  MONUMENTS, MEMORY AND THE AFTERLIFE OF SLAVERY-###-0.3218616889566975---CONTEMPORARY SPANISH CINEMA-###-0.30969453662272173---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.2752936292496476---SEMINAR ABNORMAL PSYCH: GENDER AND PSYCHOPATHOLO-###-0.7546777811614644---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.2919784069513647---TOPICS OLD ENGLISH: KING ARTHUR:  MEDIEVAL TO MODERN-###-0.2771180719383546---AMERICAN POETRY POST 1975-###-0.3130347988234332---URBANIZATION AND ITS DISCONTENTS-###-0.9999999999999999---CONTAGION-###-0.3514719618419428---Love in Italian Literature-###-0.2752936292496476---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.9999999999999999---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.31934957782444484---TOPICS 19TH-C LITERATURE: DISTRACTION-###-0.3174560349466152---THE ROAD TO RED POWER: EXAMINING NATIVE NORTH AMERICAN HISTORY-###-0.27486747725189337---To Whom It May Concern: Literary Letters in Latin America-###-0.30969453662272173---MLA Proseminar: Looking for Don Quixote-###-0.30969453662272173---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.30969453662272173---Anxiety disorders, OCD, and PTSD-###-0.7546777811614644---CONTEMP BRAZILIAN CINEMA-###-0.28718855716664066---EARLY AMERICAN STUDIES-###-0.27486747725189337---TOPICS 20TH-C LITERATURE: ANIMAL TALES-###-0.3256077114940501---TPCS THEORIES GENDER/SEX: GLOBAL FEMINISM-###-0.34071216050572073---THE LITERATURE & HISTORIOGRAPHY OF NATIONAL TRAUMA:  PARTITION & SOUTH ASIA-###-0.3244565273874331---TPCS 20TH-C AMERICAN LIT: THE POLITICS OF THE GIFT-###-0.31166190863312754---SEMINAR ABNORMAL PSYCH:  Mental Illness and the Media-###-0.7546777811614644---EDUCATIONAL INEQUALITY-###-0.49855444603229165---MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH-###-0.3744256169335988---TOPICS - THE NOVEL: LIT & PHOTOGRAPHY (NOW)-###-0.27964199010076857---FILM, TELEVISION, AND TRANSATLANTIC SCREEN CULTURE-###-0.38418713833944695---SEMINAR ABNORMAL PSYCH: Current Controversies in Clinical Psychology-###-0.7546777811614644---Latin American Literature and Pop(ular) Culture-###-0.30969453662272173---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.9999999999999999---TOPICS 20TH-C LITERATURE: REPRESENTATIONS OF THE HOLOCAUST-###-0.3256077114940501---Iraq and Syria from World War I to ISIS-###-0.9999999999999999---MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA-###-0.3244565273874331---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.30969453662272173---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.30969453662272173---CRITICAL APPRECIATION-###-0.38765489277121595---MIGRATION AND REFUGEES IN AFRICA-###-0.9999999999999999---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.30969453662272173---TOPICS CULTURAL STUDIES: SOCIAL NETWORKS-###-0.38418713833944695---CAPITALISM AND HUMANITARIANISM-###-0.9999999999999999---SEM EGYPT ARCHAEOL& HIST-###-0.7833486777206808---Gabriel Garcia Marquez and Latin American Literature-###-0.30969453662272173---TOPICS LAW & LITERATURE: COPYRIGHT AND CULTURE-###-0.35955763377965183---LATIN AMERICAN FILM-###-0.30969453662272173---TOPICS POETRY & POETICS: MODERNIST AMER POETRY-###-0.30853288617890456---TPCS 19TH-C AMERICAN LIT: REWRITING AMERICAN CLASS-###-0.3044910301832041---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.28718855716664066---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.30969453662272173---LOOKING OUT:  U.S. LITERATURE AND THE GLOBAL NINETEENTH-CENTURY-###-0.3449786689564547---SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND RELIGION-###-0.7546777811614644---19TH-CENTURY AMERICAN LITERATURE:  LITERARY RADICALS-###-0.3044910301832041---TOPICS - THE NOVEL: NOVEL AND ROMANCE-###-0.27964199010076857---TOPICS FILM STUDIES: PSYCHOANALYSIS/LIT/FILM-###-0.3659929218477113---Race, Science & Society-###-0.49855444603229165---TPCS 20TH-C AMERICAN LIT: POLITICS OF FRIENDSHIP-###-0.31166190863312754---DON QUIXOTE NOW AND THEN-###-0.30969453662272173---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.9999999999999999---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.2752936292496476---TPCS 19TH-C AMERICAN LIT: MELVILLE/STOWE/DOUGLASS-###-0.3044910301832041---TOPICS FILM STUDIES: CINEMA AND POLITICS-###-0.3659929218477113---Food in Latin American History and Culture-###-0.30969453662272173---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.28718855716664066---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.2919784069513647---CONFLICT, LAW AND JUSTICE IN EARLY AMERICA: CROSS-CULTURAL APPROACHES-###-0.27486747725189337---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.9999999999999999---GOD AND NATURE-###-0.9999999999999999---REVOLUTION OF THE WORD:  MODERNIST AMERICAN POETRY AND POETICS (1900-1945)-###-0.30853288617890456---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.2752936292496476---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.30969453662272173---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.30969453662272173---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.9999999999999999---BAD KIDS: MISFITS AND MAYHEM IN LITERATURE AND FILM-###-0.3256077114940501---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.30969453662272173---TPCS: 20TH-CENT AMER LIT: THE COLORS OF LITERATURE, FROM POE TO COMICS-###-0.31166190863312754---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.9999999999999999---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.30969453662272173---LAW AND SOCIAL CHANGE-###-0.27486747725189337---Reading Old Spanish: Language in Context-###-0.30969453662272173---TOPICS FILM STUDIES: CULTURE & PSYCHOANALYSIS-###-0.3659929218477113---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.30969453662272173---Don Quijote Then and Now-###-0.30969453662272173---TOPICS DRAMA TO 1660: INTRO TO SHAKESPEARE-###-0.26974491123902056---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.26851648846723497---SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW-###-0.7546777811614644---PURITANS TO RELIGIOUS RIGHT: RELIGION AND POLITICS IN AMERICAN HISTORY-###-0.27486747725189337---SEMINAR IN COG NEUROSCI-###-0.7546777811614644---AMERICAN LITERARY RADICALS OF THE 19TH CENTURY-###-0.3044910301832041---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.2919784069513647---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.30969453662272173---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.30969453662272173---PARALLEL HISTORIES: PSYCHOANALYSIS AND FILM-###-0.38418713833944695---TOPICS 17TH-CENTURY LIT: MILTON-###-0.2827456443558319---Gangs & Organized Crime-###-0.2939430996921642---REL&COL RULE IN AFRICA-###-0.9999999999999999---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.30969453662272173---GERMAN CENTURY:1890-1990-###-0.9999999999999999---DON QUIJOTE THEN AND NOW-###-0.30969453662272173---MEXICAN CINEMA-###-0.30969453662272173---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.30969453662272173---FLORENCE IN HISTORY-###-0.9999999999999999---TPCS THEORIES GENDER/SEX: THINKING SEX-###-0.34071216050572073---TOPICS LATINA/O LIT: RACE, SPACE, AND WRITING-###-0.27025363228666804---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.9999999999999999---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.30969453662272173---Reality and Appearance in Golden Age Spain-###-0.30969453662272173---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.2919784069513647---TOPICS FILM STUDIES: ENVIRONMENTAL MEDIA-###-0.3659929218477113---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.2752936292496476---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.31934957782444484---SUFISM IN URDU POETRY-###-0.38765489277121595---The City: Literary and Visual Tradition-###-0.2752936292496476---TPCS 18TH-C BRITISH LIT: CHINA IN THE ENGLISH IMAGINATION-###-0.30013528912941995---GROUNDBREAKING POETS AND TRADITIONAL FORMS-###-0.3130347988234332---TOPICS RACE & ETHNICITY: 20TH-C SOUTHERN WRITERS-###-0.3218616889566975---TOPICS LITERARY THEORY: MARX AND MARXISMS-###-0.3744256169335988---
RDGS IN KOREAN HISTORY:	MAJOR SEMINAR ON KOREA: Korea in the Age of Empires, 1864-1945-###-0.39311667613599716---MAJOR SEMINAR ON JAPAN: DEBATE,DISSENT,&DISCIPLN-###-0.39746524520314197---TOPICS IN GREEK/ROM ART: ROMAN POLITICAL ART-###-0.7882820132501102---MLA PROSEMINAR: ECO-CRITICISM, SUSTAINABILITY, AND THE HUMANITIES-###-0.28551422597275683---Crime and Punishment:  Hugo's Les Miserables in Context-###-0.2941989472437409---TOPICS IN 19TH CENT ART: IMAGE AND PLACE IN PHILA-###-1.0000000000000002---TOPICS IN 20TH CENT ART: ART OF THE 60'S AND 70'S-###-1.0000000000000002---TOPICS IN CLASSICAL ART: THE LATE ANTIQUE IMAGE-###-0.7882820132501102---TOPICS IN OPIM-###-0.30477937166873253---MAJOR SEMINAR ON JAPAN: JAPAN: REALITY/FANTASY-###-0.39746524520314197---TOPICS IN S. REN ART: WHAT IS PAINTING?-###-1.0000000000000002---TOPICS IN S. REN ART: TERRESTRIAL IMAGINATION-###-1.0000000000000002---FIRST EMPEROR OF CHINA-###-0.40387468386364195---MLA Proseminar: Imagining the World in the Middle Ages-###-0.3913001941378897---TOPICS MEDIEVAL STUDIES: MEDIEVAL PERFORMANCES-###-0.3913001941378897---UNDERGRAD METHODS SEM-###-0.2885196350524837---Major Seminar on Japan: Japan's Others-###-0.39746524520314197---TOPICS IN 20TH CENT ART: DUCHAMP'S OBJECTS: MATTER AND MODERNITY-###-1.0000000000000002---TOPICS IN GREEK/ROM ART: Late Antique Art and Artifact-###-0.7882820132501102---
PALEONTOLOGY:	
ELEMENTARY GERMAN II:	ELEMENTARY INDONESIAN II-###-0.3754776386135515---ELEM TURKISH II-###-0.6056363178693531---ELEMENTARY TURKISH I-###-0.26641965937222367---ELEMENTARY KOREAN I-###-0.27097773573389744---INTERMEDIATE GERMAN I-###-0.2505328031723651---ELEMENTARY GERMAN I-###-0.38720210632047103---
BLENDS OF CULTURES: CONFLICT & COOPERATION IN MOROCCO & ZANZIBAR:	
RESEARCH IN BEHAV ETHICS:	Behavioral Economics & Psychology: Theory & Experiments-###-0.9037203978172273---
Security, Humanitarianism, or Poverty Reduction: Trends and Debates:	THE IDEA OF FREEDOM-###-0.5765321813070556---RELIGION AND POLITICS-###-0.34720094777411675---UTOPIA AND ITS CRITICS-###-0.34720094777411675---SHAKESPEARE&POL.THOUGHT-###-0.34720094777411675---INTL LAW HUMAN RIGHTS-###-0.585618601033722---GLOBAL LEADERSHIP-###-0.5765321813070556---Major Figures in Modern Political Theory: The Social Contract-###-0.5765321813070556---INTL LAW OF HUMAN RIGHTS-###-0.585618601033722---Citizenship and Partisanship-###-0.6202087862810874---OIL & GRAND STRATEGY-###-0.34720094777411675---Oil, Politics, Economy, Society-###-0.6202087862810874---THE MEANING OF DEMOCRACY-###-0.34720094777411675---Global Leadership & Problem Solving:The Eldercare Crisis in America & China-###-0.5765321813070556---Globalization, Regime Change, and Inclusion-###-0.6202087862810874---Politics, Groups and Identities-###-0.5765321813070556---
FAM FOC PC MID AGE/OLDER: FAMILY FOCUSED PRIMARY CARE OF THE MIDDLE-AGED AND OLDER ADULT:	PRIMARY CARE: DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN-###-0.5800480968374462---NURSING OF OLDER ADULTS-###-0.4079228375379707---PC CLINICAL PRACTIUM:DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN-###-0.5441325407763132---CL PRAC:FAM FOC PC ADULT-###-0.4233457847923857---HEALTH CARE IN AN AGING SOCIETY-###-0.4323367082436738---CLIN PRAC: FAMILY FOCUSED PRIMARY CARE OF THE MIDDLE AGED AND OLDER ADULT-###-0.4233457847923857---
COMPLEMENTARY/ALTERNATIVE THERAPIES IN WOMEN'S HEALTH:	INTR COMPLE & ALTERN MED-###-0.40749748791762497---
WRITING SEMINAR IN THAR: ACTING ONSTAGE AND OFF:	
AUTONOMIC PHYSIOLOGY:	
ART IN INDIA: Icons and Narrative in South Asian Sculpture:	
BEG RDG/WRTG CHINESE I:	INTER RDG/WRTG CHINESEII-###-0.3239976417939481---INTER RDG/WRTG CHINESE I-###-0.2654722503745925---INTEN BEG MOD CHIN I&II-###-0.2893473097223704---BEG RDG/WRTG CHINESE II-###-0.27516834232321263---INTERMED MOD CHINESE I-###-0.29125887917268883---
LECTURE: Introduction to Management:	
CLINICAL PRACTICUM FOR THE HIGH RISK NEONATE:	PEDIATRIC ACUTE CARE NP: PROFESSIONAL ROLE & INTERMEDIATE CLINICAL PRACTICE-###-0.25969435547777175---HIGH RISK NEONATAL THEORY I-###-0.258131221547265---NURSING IN THE COMMUNITY-###-0.2539783906151642---ADVANCED PRACTICE CONCEPTS FOR THE CHILDBEARING FAMILY-###-0.2993795151524808---PEDIATRIC NURSING-###-0.252954931581816---PEDIATRIC ACUTE CARE NP: PROFESSIONAL ROLE & ADVANCED CLINICAL PRACTICE-###-0.25267931600205334---
ARAMAIC I: Approaches to Talmud: Traditional and Academic:	GREAT BOOKS OF JUDAISM-###-0.38520129104902506---
ARABIC IN RESIDENCE:	READING HISTORICAL ARABIC MANUSCRIPTS-###-0.28768134888105407---MODERN ARABIC LITERATURE: ARAB WOMEN & WAR-###-0.3095448277394961---ARAB WOMEN & WAR-###-0.4019366668309617---RDGS IN QUR'AN & TAFSIR-###-0.25464050455031906---
AFR LANG TUTOR: ADV II: TIGRINYA-AFR LANG ADV II:	MALAGASY-AFR LG ELEM II-###-0.5265173663070705---MALAGASY - INTER II-###-0.5265173663070705---SENIOR HONORS THESIS-###-0.2601728103331564---
WRITING SEMINAR IN AMST: URBAN PHOTOGRAPHY:	CRITICAL WRITING SEMINAR: DAVINCI:SCIENTIST ARTIST-###-0.8696518987338208---CRITICAL WRITING SEMINAR: EINSTEIN & PICASSO-###-0.8696518987338208---WRITING SEMINAR IN EAS: WHAT DRIVES ENGINEERING-###-0.8307790921541979---WRITING SEMINAR IN ARTH: SAMPLE, REMIX, MASH-UP-###-0.8994274849399225---WRITING SEMINAR IN CINE: OUR ANIMALS, OURSELVES-###-0.9011338920548002---WRITING SEMINAR IN ENGL: COMIC ART-###-0.9128021536172775---WRITING SEMINAR IN COML: COSTUMES & IDENTITY-###-0.8917796751757368---WRITING SEMINAR IN RHET: THEORIES OF COMEDY-###-0.7613120208176976---WRITING SEMINAR IN PHIL: THE ETHICS OF IDENTITY-###-0.8680329489951691---WRITING SEMINAR IN STSC: VIDEO GAME PSYCHOLOGY-###-0.8000764771075074---WRITING SEMINAR IN PHIL: THE ETHICS OF IMAGES-###-0.8680329489951691---WRITING SEMINAR IN HIST: AFRICA IS NOT A COUNTRY-###-0.8639047782497593---WRITING SEMINAR IN PSYC: MORALITY IN BABIES-###-0.8569718573031596---WRITING SEMINAR IN MUSC: THE TUNING OF THE WORLD-###-0.7754399157105105---WRITING SEMINAR IN PHYS: PHYSICS & FREE WILL-###-0.8694151259120472---WRITING SEMINAR IN BIBB: NEUROSCIENCE FREE WILL-###-0.8601002866302814---WRITING SEMINAR IN ANTH: GLOBAL HEALTH-###-0.8158638006973667---WRITING SEMINAR IN RHET: QUESTIONS OF NORMALCY-###-0.7613120208176976---CRITICAL WRITING SEMINAR: THE TEENAGE BRAIN-###-0.8696518987338208---WRITING SEMINAR IN HIST: REINVENTING AFRICA-###-0.8639047782497593---WRITING SEMINAR IN COMM: DISNEY & THE THEME PARK-###-0.9014842814655348---WRITING SEMINAR IN HIST: THE LION KING-###-0.8639047782497593---WRITING SEMINAR IN CINE: THIRD MAN & ESPIONAGE-###-0.9011338920548002---WRITING SEMINAR IN RHET: SPORTS SCANDALS-###-0.7613120208176976---WRITING SEMINAR IN COML: CAPITALIST SUPERHEROES-###-0.8917796751757368---WRITING SEMINAR IN EAS: ART OF ENGINEERING-###-0.8307790921541979---WRITING SEMINAR IN ARTH: VISUAL COMMUNICATION-###-0.8994274849399225---WRITING SEMINAR IN PHIL: HUMAN EXTINCTION-###-0.8680329489951691---WRITING SEMINAR IN STSC: MARINE ECOLOGIES-###-0.8000764771075074---WRITING SEMINAR IN COML: BORGES'S SHORT FICTION-###-0.8917796751757368---WRITING SEMINAR IN PSCI: THE REINVENTION OF RACE-###-0.8244472846175877---WRITING SEMINAR IN CLST: CLASSICAL MYTHOLOGY-###-0.8704526453270874---WRITING SEMINAR IN STSC: GEEK HERESY-###-0.8000764771075074---WRITING SEMINAR IN COMM: U.S. CELEBRITY CULTURES-###-0.9014842814655348---WRITING SEMINAR IN BIBB: HOW MEMORIES DEFINE US-###-0.8601002866302814---WRITING SEMINAR IN PHIL: DIGITAL ART-###-0.8680329489951691---WRITING SEMINAR IN ASAM: MINORITIES AND THE MEDIA-###-0.8330034179317122---WRITING SEMINAR IN ECON: DECISION MAKING-###-0.8205846657586293---WRITING SEMINAR IN COMM: NETWORKED TEENAGERS-###-0.9014842814655348---WRITING SEMINAR IN MUSC: MUSIC AND THE BRAIN-###-0.7754399157105105---WRITING SEMINAR IN ENGL: MODERN MYSTICISM/MAGICK-###-0.9128021536172775---WRITING SEMINAR IN PSYC: ANATOMY OF VIOLENCE-###-0.8569718573031596---WRITING SEMINAR IN STSC: TECH TO SAVE THE WORLD?-###-0.8000764771075074---WRITING SEMINAR IN PHIL: MADNESS & DELUSION-###-0.8680329489951691---WRITING SEMINAR IN CIMS: OUR ANIMALS, OURSELVES-###-0.9011338920548002---WRITING SEMINAR IN PSCI: MASS INCARCERATION-###-0.8244472846175877---CRITICAL WRITING SEMINAR: Legal Rights for Nature (NON-LPS)-###-0.8696518987338208---WRITING SEMINAR IN BIBB: YOUR BRAIN ON MEDITATION-###-0.8601002866302814---WRITING SEMINAR IN COMM: MARKETING LIKES-###-0.9014842814655348---WRITING SEMINAR IN PSCI: EMOTIONS AND POLITICS-###-0.8244472846175877---WRITING SEMINAR IN EDUC: NATION OF IMMIGRANTS-###-0.8378672339732572---WRITING SEMINAR IN ENGL: COMICS & GRAPHIC NOVELS-###-0.9128021536172775---WRITING SEMINAR IN ANTH: BUSINESS OF DOING GOOD-###-0.8158638006973667---WRITING SEMINAR IN EDUC: SCHOOLING AND DEMOCRACY-###-0.8378672339732572---WRITING SEMINAR IN BIOL: ANIMAL EMOTIONS-###-0.8832510561714261---WRITING SEMINAR IN URBS: A WORLD OF CITIES-###-0.8599518252441645---WRITING SEMINAR IN STSC: SEXUAL SELECTION-###-0.8000764771075074---WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS-###-0.8158638006973667---WRITING SEMINAR IN ANTH: PHILANTHROPY/DISCONTENTS-###-0.8158638006973667---WRITING SEMINAR IN PSCI: DEMOCRACY IN AMERICA-###-0.8244472846175877---WRITING SEMINAR IN ASAM: RACE AND POPULAR CINEMA-###-0.8330034179317122---WRITING SEMINAR IN CINE: PSYCHO: A CASE HISTORY-###-0.9011338920548002---WRITING SEMINAR IN PSCI: THE URBAN INVASION-###-0.8244472846175877---WRITING SEMINAR IN COGS: DREAMING AND SLEEP-###-0.8756893119837234---WRITING SEMINAR IN RHET: POLITICAL SPEECH & TONE-###-0.7613120208176976---WRITING SEMINAR IN COML: ALIENS, HUMANS & HYBRIDS-###-0.8917796751757368---WRITING SEMINAR IN PSYC: NEUROSCIENCE OF VIOLENCE-###-0.8569718573031596---WRITING SEMINAR IN ARTH: ART & POLITICS-###-0.8994274849399225---WRITING SEMINAR IN PHYS: TIME TRAVEL-###-0.8694151259120472---
WRITING SEMINAR IN SOCI: MASS INCARCERATION:	
MATERIAL PAST DIG WORLD:	Introduction to Digital Archaeology-###-0.26598150440314355---
INTRO BIOLOGY B:	
THE ETRUSCANS:	
ADV RUSSIAN FOR BUSINESS:	Business German: A Micro Perspective-###-0.2627511846921769---CLASSIC RUS LIT TODAY-###-0.2658618444965562---Russian for Heritage Speakers I-###-0.2618984179156806---BUSINESS & DEMOCRACY-###-0.3565077351339018---History of Russian Literary Language and Culture-###-0.34292875770743236---BUSINESS COMM IN KOREAN: Business Communication in Korean-###-0.32986301198896095---Business and Democracy in the New Russia-###-0.3565077351339018---CONTEMP RUSS THRGH FILM-###-0.2750862798605663---BUSINESS COMM IN KOREAN-###-0.32986301198896095---
THE SCIENTIFIC REVOLUTIO:	THE SCIENTIFIC REV: The Scientific Revolution-###-0.9711119650228959---
STEM CELLS,PROT&DRUG DEL:	STEM CELLS, SCI, & SOC: Stemcells, Science, and Society-###-0.2936237980901302---Stem Cells & Society-###-0.2936237980901302---
CORP RESP AND ETHICS:	
THE ART OF THE PROFILE:	
CSE STY:ANALYS CLN NUTR:	NUTRITIONAL ASPECTS OF DISEASE-###-0.34812937776608516---
HUMAN EVOLUTIONARY GENOMICS:	GENOME SCIENCES AND GENOMIC MEDICINE-###-0.3089829392074315---GENOME SCI & GENOMIC MED-###-0.3089829392074315---GENOMICS OF HUMAN DISEASE AND EVOLUTION-###-0.36405224836452943---
SOCIAL STATISTICS:	
