TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
DIG INTEG CIRC&VLSI-FUND:	GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.15418069528048484,SOCIAL STATISTICS 0.10204091378436335,MEDICAL DEVICES 0.12867158564429862,DESIGN PROCESSES 0.17539521023263077,MEDICAL DEVICES 0.10674022576497624,MEDICAL DEVICES 0.12867158564429862,GRAPHIC DESIGN PRACTICUM 0.10633988002555193,INTR TO ELECTROMECH PROT 0.1828404683030007,
CU IN INDIA - TECH INNOVATION IN SOUTH ASIA/INDIA: HISTORY AND PRACTICE:	CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.9754862207193856,EAST ASIAN GARDENS 0.10264359841856183,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.11584634376688104,HSOC SEMINAR: Research Seminar Health and Society 0.10171626896782485,INTRO TO MODERN INDIA 0.19128558625739225,REHEARSAL & PERFORMANCE: The Eumenides by Aeschylus 0.11027242340117654,PLANNING TO BE OFFSHORE 0.19754472383237892,HIST,CLTR, EARLY INDIA: HISTORY, CULTURE AND RELIGION IN EARLY INDIA 0.11431592202689045,REHEARSAL & PERFORMANCE: Fefu and her friends by Maria Irene Fornes 0.11027242340117654,CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.9754862207193856,
ELAST&MICROMECH OF MATLS:	MECH PROP NANO/MACRO 0.1596421182728946,SENIOR DESIGN PROJECT 0.10177868997551182,STRUCTURAL MATERIALS 0.14209482022668543,INTR TO OPTIMIZ THEORY 0.11376441496034305,ENVS SEMINAR: ENVIRONMENTAL POLICY 0.1340332800840853,
BEGINNING CHINESE III:	ADV SPOKEN MANDARIN II 0.14267654513167516,INTEN BEG MOD CHIN I&II 0.614375034684748,INTERMED VIETNAMESE II 0.10551375046383236,SPAN FOR MED PROF INT I 0.10029722067699907,BEGINNING YIDDISH II 0.1140056752033084,BEGINNING YIDDISH II 0.1140056752033084,ELEM VIETNAMESE I 0.10537878942966557,ELEMENTARY POLISH I 0.10079264977103052,ELEMENTARY POLISH I 0.10079264977103052,ELEMENTARY TURKISH I 0.1565647064589907,ELEMENTARY TURKISH I 0.1565647064589907,ELEMENTARY TURKISH I 0.1565647064589907,BEG RDG/WRTG CHINESE I 0.11127067750917116,
INTERMED MOD CHINESE II:	CHINAS DOMESTIC POLITICS 0.1442804298032574,ADV SPOKEN MANDARIN II 0.1638155117590702,RDGS MODRN CHINESE DOCUM 0.15198331673691642,ADVANCED PROFICIENCY II 0.12258703456929569,ADVANCED PROFICIENCY II 0.12258703456929569,INTERMEDIATE RUSSIAN I 0.12702217411717362,ELEMENTARY POLISH I 0.15401775942494217,CHINESE CLTURE & SOCIETY 0.10993802543408765,ELEMENTARY POLISH I 0.15401775942494217,ADV BUSINESS CHINESE II 0.11637195499079386,ELEMENTARY UZBEK I 0.13518601065311292,ELEMENTARY AMHARIC I 0.10009631344164809,RDGS MOD CHINESE II:LIT 0.15051104419987624,US AND CHINA 1912-2012 0.12531618574690892,
HISTORY OF THE BOOK IN EAST ASIA:	EAST ASIAN GARDENS 0.12596024842483314,RACE AND IDENTITY: COMING OF AGE IN 20TH CENTURY AMERICA 0.10248012519664969,ART & CIV IN EAST ASIA 0.1891062690703093,INTERMEDIATE JAPANESE II 0.13840629155960532,WRITING FOR CHILDREN: WRITING FOR YOUNG ADULTS 0.3285720078408273,GROTESQUE FORMS: MAKING COMICS 0.144338720253508,TPCS IN MEDIEVAL/REN ART: ART, POLITICS, AND POWER IN LATE MEDIEVAL AND RENAISSANCE FRANCE 0.28382542125297455,ARTS OF KOREA 0.10499838876013506,
ADVANCED PORTUGUESE:	ADVANCED WRITING PROJECTS IN THE ARTS AND POPULAR CULTURE 0.11700161964071024,PROG LANG AND TECH II 0.10408154623035482,ADVANCED PROFICIENCY II 0.10013572942825955,ADVANCED PROFICIENCY II 0.10013572942825955,INTERMED PORTUGUESE II 0.47170441869816765,ACCELERATED INTERMD GRMN 0.12248959490662353,INTERMEDIATE GERMAN I 0.1091996955499909,INTERMEDIATE GERMAN I 0.1091996955499909,ACCEL INTERMD PORTUGUESE 0.5271233764020837,ELEM VIETNAMESE I 0.12235750110794552,INTERMEDIATE HINDI I 0.1743344701519331,INTERMEDIATE HINDI II: Intermediate Hindi Part II 0.1743344701519331,INTERMEDIATE HINDI II: Intermediate Hindi Part II 0.1743344701519331,PRTG FOR SPANISH SPEAKER 0.306029488786975,INTERMEDIATE FRENCH I 0.13097979035606927,INTERMEDIATE GERMAN II 0.10366338333315231,ACCELERATED INTERMD GRMN 0.12248959490662353,ELEMENTARY SPANISH I 0.11801234629566303,ELEMENTARY SWEDISH I 0.15367909853334524,BEGINNING YIDDISH II 0.12200775652494375,BEGINNING YIDDISH II 0.12200775652494375,INTERMEDIATE FRENCH I 0.13097979035606927,ACCEL INTERMD PORTUGUESE 0.5155410506246735,INTERMED INDONESIAN II 0.11622564537053579,ADVANCED SPANISH 0.1566925202033152,ADVANCED PORTUGUESE 0.9793378057638664,ADVANCED SPANISH 0.1566925202033152,ELEMENTARY SWEDISH I 0.15367909853334524,MEDIA CHINESE I 0.10348199532567491,INTERMEDIATE FRENCH I 0.13097979035606927,
DATA ANALY & STAT COMP: Data Analytics and Statistical Computing:	INTRODUCTORY STATISTICS 0.1991790229738088,INT TO NONP & LOGLIN MOD 0.19429052524076124,RES METHODS/PRAC IN IR 0.14677375087897357,STATISTICAL MECHANICS 0.14120238758522025,DATABASE & INFO SYSTEMS 0.12129905162013752,BAYESIAN METH & COMP 0.17469077627661422,QUANTITATIVE METHODS I 0.15819888934087672,DATABASE & INFO SYSTEMS 0.12129905162013752,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.1292275016506628,ENGR APPLIC OF STATISTIC 0.16249161310147506,INTRODUCTORY STATISTICS 0.24203556406603038,DATA SCIENCE 0.2667032697681616,DISCRETE PROB & STAT INF 0.16402312157925653,STATISTICAL METHODOLOGY 0.2404070597350922,INTRODUCTORY STATISTICS 0.24203556406603038,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10099656782164695,PYTHON PROG 0.113321391541772,PROB&STATS FOR BIOT 0.15164021919905074,MODERN DATA MINING 0.1385839349340137,BIOL DATA SCIENCE I 0.20434515596670225,GIS APPLICATIONS IN SOCIAL SCIENCE 0.10099656782164695,DATABASE & INFO SYSTEMS 0.12129905162013752,APPLIED REG & ANALY VAR 0.11822731505753191,ESTIMATION & DETEC THRY 0.16191950932324903,INTRO SCIENTIFIC COMP 0.13293296523370754,APPLIED ECONOMETRICS I 0.1645966555291368,INTR TO SPATIAL ANALYSIS 0.1856681559508344,INTERNET & WEB SYSTEMS 0.10415648216035274,BUSINESS COMP LANGUAGES 0.12568537402872165,INTRO BUSINESS STAT 0.36096432859740835,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.1311262705970391,SOCIAL STATISTICS 0.19139965157712827,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.2370727348316273,ADV STAT FOR MGMT 0.1385839349340137,ENGR APPLIC OF STATISTIC 0.16249161310147506,DATABASE & INFO SYSTEMS 0.12129905162013752,STAT COMPUTING WITH R: Statistical Computing with R 0.17153149279847918,STAT FOR ECONOMISTS 0.2959770079870639,INTRO BUSINESS STAT 0.36096432859740835,INTERNET & WEB SYSTEMS 0.10415648216035274,INTERNET & WEB SYSTEMS 0.10415648216035274,QUANTITATIVE METHODS I 0.15819888934087672,RES METHODS/PRAC IN IR 0.14677375087897357,
PERICLEAN ATHENS:	GREEK VASE PAINTING 0.11961639313223076,ANCIENT GREECE 0.1394596591322692,
INTRO TO ARCHAEOLOGY:	TOPICS IN PHIL & LIT: ADORNO & LITERARY THEORY 0.1166365020167751,ETHICS, ARCHAEOLOGY & CULTURAL HERITAGE 0.10436186716016799,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.15919115750171528,INTRO CULTURAL ANTHRO 0.1357932005825105,INTRO TO MED ANTHRO 0.11252185974792518,INTRO TO MED ANTHRO 0.11252185974792518,INTRO ARCHAEOLOGY 0.26069843426504413,GREAT DISCOV ARCHAEOLOGY 0.13752262642467683,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.15919115750171528,Petrography of Cultural Materials 0.1139454156394673,MAT & METHODS MED ARCH 0.13038502369231864,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.26069843426504413,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.1484968048742627,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.14818251081201603,MAT & METHODS MED ARCH 0.13038502369231864,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.1484968048742627,ANTH & THE MODERN WORLD: AFGHANISTAN, IRAN, PAKISTAN, SYRIA, AND THE REFUGEE PROBLEM 0.11670479696986444,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.1484968048742627,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.14818251081201603,PLANTS AND SOCIETY 0.10710763633778683,Petrography of Cultural Materials 0.1139454156394673,
INTERMED MICROECONOMICS:	MATERIALS SELECTION 0.10154084730513095,INTRODUCTION TO MICRO ECONOMICS 0.17298507710375205,INTRO TO MICROECONOMICS 0.17298507710375205,COMP POL. WELFARE STATE 0.10862794849539198,POLITICAL ECONOMY 0.10687325257572398,
INTERMED PORTUGUESE II:	WORLD MUSICS & CULTURES 0.10287071774398267,ADVANCED PORTUGUESE 0.47170441869816765,INTRM MODERN HEBREW III 0.14975063045260942,TECH COMM & ACAD WRITING 0.10493338365605168,WORLD MUSICS & CULTURES 0.10494176558422465,ACCEL INTERMD PORTUGUESE 0.7306486592034561,TECH COMM & ACAD WRITING 0.10493338365605168,WORLD MUSICS & CULTURES 0.10494176558422465,WORLD MUSICS & CULTURES 0.10494176558422465,INTR MODERN HEBREW IV 0.10113743878405332,PRTG FOR SPANISH SPEAKER 0.4427701482486393,INTERMED PERSIAN I 0.13120987529742897,JAPANESE/PROFESSIONS II 0.10837719333688407,WORLD MUSICS & CULTURES 0.10494176558422465,INTRM MODERN HEBREW III 0.14975063045260942,INTRM MODERN HEBREW III 0.14975063045260942,WORLD MUSICS & CULTURES 0.10494176558422465,ELEMENTARY SPANISH I 0.10421952541138563,JAPANESE/PROFESSIONS I 0.10837719333688407,ELEMENTARY SWEDISH I 0.10724835334883934,INTR MODERN HEBREW IV 0.10113743878405332,TECH COMM & ACAD WRITING 0.10493338365605168,INTERMED PERSIAN II 0.12537467387324747,ACCEL INTERMD PORTUGUESE 0.7258806847242995,INTR MODERN HEBREW IV 0.10113743878405332,ADVANCED PORTUGUESE 0.47264009368830756,TECH COMM & ACAD WRITING 0.10493338365605168,INTRM MODERN HEBREW III 0.14975063045260942,ELEMENTARY SWEDISH I 0.10724835334883934,MEDIA CHINESE I 0.10078795602015811,
CALCULUS II:	GRAD PROSEMINAR IN MATH 0.11362715354312959,CALCULUS I 0.4884836954849234,INTRODUCTION TO CALCULUS 0.3046882284646574,CALCULUS FOR WHARTON STU 0.3265505187891778,DYN SYS FOR ENG&BIOL APP 0.12910919917004404,MATHEMAT METHODS OF PHYS 0.12155632645457608,MATH FOR MATLS SCIENCE 0.11180518350449138,CALCULUS I 0.4884836954849234,ADVANCED DYNAMICS 0.12080719395961216,ADVANCED ANALYSIS 0.14030890600481055,
RDGS IN KOREAN HISTORY:	TOPICS GERMAN CINEMA: FRITZ LANG 0.1262830435896437,TOPICS IN S. REN ART: TERRESTRIAL IMAGINATION 1.0000000000000002,CONTEMPORARY ISSUES IN AMERICAN ANIMATION 0.12118155918974746,MODERN SCI-FI CINEMA 0.10582637978430352,TOPICS IN CLASSICAL ART: THE LATE ANTIQUE IMAGE 0.8082105770805811,TOPICS IN GREEK/ROM ART: ROMAN POLITICAL ART 0.8082105770805811,MLA SEMINARS IN CINEMA: MLA Proseminar: Food and Film 0.10617526563599765,TOPICS FILM STUDIES: MODERN SCI-FI CINEMA 0.12515263361117823,MLA PROSEMINAR: ECO-CRITICISM, SUSTAINABILITY, AND THE HUMANITIES 0.30891259416339917,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.12037451588425814,UNDERGRAD METHODS SEM 0.32980510185393785,TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA 0.12037451588425814,HISTORY AND THEORY OF ANIMATION 0.12118155918974746,
HEALTH CARE SYSTEMS:	LEADERSHIP DEVELOPMENT IN HEALTHCARE 0.21988652708138548,WELL WOMEN HEALTH CARE, THEORY 0.11895261288920417,PRINCIPLES OF PALLIATIVE CARE 0.1840226208928487,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.12789996096776374,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.21709373114388106,CONDUCTING RESEARCH IN GLOBAL WOMEN'S HEALTH 0.12293546490794166,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.12646446247002668,ELEC SYSTEMS & MARKETS 0.1007784617942908,MGMT&ECONOFPHARMA,BIOTEC 0.15316249764307194,PROSEMINAR IN NURSING INNOVATION 0.15286753970505573,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.1585768481892059,INTRO TO BUSINESS ECONOM 0.1414641468605309,FOUNDA OF PUBLIC HEALTH 0.212022068884567,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.12156279093708396,INTEGRATION I 0.14998208862929516,PEDIATRIC NURSING 0.13005969683647334,INTRO TO BUSINESS ECONOM 0.1414641468605309,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.12646446247002668,CHILD AND ADOLESCENT MENTAL HEALTH 0.12521957402510492,PEDIATRIC NURSING 0.13005969683647334,PRINCIPLES OF PALLIATIVE CARE 0.1840226208928487,HEALTH OF POPULATIONS 0.20466187084415785,PEDIATRIC NURSING 0.13005969683647334,CONCEPTS IN HEALTHCARE ECONOMICS 0.2847590478179633,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.15894689022496333,NURSING OF WOMEN AND INFANTS 0.15753123268302546,MGMT&ECONOFPHARMA&BIOTEC 0.16005246911008547,Community Based Environmental Health 0.11244132427375286,HC MGMT&STRAT 0.12053570419358778,CLINIC 0.10802461945722225,NURSING ADMINISTRATION PRACTICUM 0.1392679255201858,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.1800356125163847,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.15688011377032193,COMP POL. WELFARE STATE 0.10314588903636024,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.22623167545358638,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.12156279093708396,Health, Sustainability & Built Environment Design 0.13988232808887838,HEALTH SERVICES SYS 0.27590216362207426,NURSING IN THE COMMUNITY 0.18063280154268022,PUBLIC POLICY AND THE NATION'S HEALTH 0.33174943361194775,WELL WOMEN HEALTH CARE, THEORY 0.11895261288920417,HC ENTREPRENEURSHIP 0.10894815286688808,
THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE:	MATERIALS SELECTION 0.13586251421376544,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.5596923216108828,ARCHAEOMETALLURGY SEMINAR 0.20264400207038977,INTRO TO ARCHAEOLOGY 0.1484968048742627,ELECTROCHEM ENG OF MATLS 0.10235450407874137,INTRO ARCHAEOLOGY 0.1863442542830093,ENGINEERING ECONOMICS 0.12459115579655489,LIVING WORLD IN ARCHAEOLOGICAL SCIENCE 0.5596923216108828,Petrography of Cultural Materials 0.12401682376243109,STRUCTURAL MATERIALS 0.10553001981567398,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.9654833218968605,STRUCTURAL MATERIALS 0.1435822987165072,INTRO NANOSCALE MATL 0.10548298741533318,INTRODUCTION ARCHAEOLOGY 0.1484968048742627,THE MATERIAL WORLD IN ARCHAEOLOGICAL SCIENCE 0.9654833218968605,INTRO TO ARCHAEOLOGY: LECTURE 0.1484968048742627,PLANTS AND SOCIETY 0.15762236147411376,MATERIALS IN MECH DESIGN 0.16176369126136544,ENGINEERING ECONOMICS 0.12459115579655489,GREAT DISCOV ARCHAEOLOGY 0.10740907061101977,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.1863442542830093,INTRO ARCHAEOLOGY: LECTURE 0.1484968048742627,NANO-SCALE MATERIALS LAB 0.13107937082037857,ENGINEERING ECONOMICS 0.12459115579655489,Petrography of Cultural Materials 0.12401682376243109,THE PAST PRESERVED: CONSERVATION IN ARCHAEOLOGY 0.11339385498577874,
INTERMEDIATE JAPANESE I:	INTERMEDIATE JAPANESE IV 0.30032779837533646,INTERMEDIATE JAPANESE II 0.4542465347315911,ADVANCED PROFICIENCY II 0.19266806787510174,ADVANCED PROFICIENCY II 0.19266806787510174,JAPANESE/PROFESSIONS I 0.30800948159338887,SUSHI&RAMEN:GLOBAL FOOD 0.16747159837575826,INTERMED JAPANESE III 0.4892973812229955,INTERMED JAPANESE III 0.3244991970526176,BEGNNING JAPANESE IV 0.34106428782328263,BEGINNING JAPANESE III 0.316756943796878,BEGNNING JAPANESE IV 0.34106428782328263,RDG CLASSICAL JAPANESE I 0.12473461182911501,THE POLITICS OF SHINTO 0.10114104053700222,BEGNNING JAPANESE IV 0.34106428782328263,JAPANESE/PROFESSIONS II 0.30800948159338887,
SOVIET & POST-SOV ECON:	LABOR ECONOMICS 0.14892627381724222,RUSSIAN POLITICS 0.16829604677473609,INTL POLITICS MIDD EAST 0.13713185361760039,THE SOVIET CENT 1917-91 0.13737841446316795,INDUS REL & HUM RES MGMT 0.10253207776594084,INDUS REL & HUM RES MGMT 0.10253207776594084,
ADV TOPICS IN MATH STAT:	INTERMEDIATE ARABIC IV 0.1360734998697368,MALAGASY - INTER II 0.11725596774040195,POLISH/HERITAGE SPEAK II 0.1531559223329725,INTRODUCTORY STATISTICS 0.15426197513052883,ELEMENTARY HUNGARIAN II 0.11636321381384893,INT TO NONP & LOGLIN MOD 0.11503953353493847,INTRO LOGIC & COMPUTABTY 0.1279321878027474,DECISION PROCESSES 0.11924250217437947,ORGANIC CHEMISTRY II 0.12880681597874577,INTERMEDIATE ARABIC IV 0.1360734998697368,MALAGASY - INTER II 0.11725596774040195,ELEMENTARY DUTCH II 0.12353961235709036,INTRO LOGIC & COMPUTABTY 0.1279321878027474,LECTURE 0.11826255177017467,POLISH/HERITAGE SPEAK II 0.1531559223329725,ELEMENTARY ARABIC II 0.1238117560555163,ADV INTERMED ARABIC II 0.1238117560555163,ADVANCED CALCULUS 0.1279321878027474,AFR LANG TUTOR: ADV II: TIGRINYA-AFR LANG ADV II 0.11725596774040195,DECISION PROCESSES 0.11924250217437947,INTERMEDIATE ARABIC IV 0.1360734998697368,
RDG CLASSICAL JAPANESE I:	1ST YR CLASSICAL CHIN I 0.2333349246424978,POST BACC LATIN 0.14512444708228298,INTERMEDIATE JAPANESE II 0.12422659567703248,ADVANCED PROFICIENCY II 0.19573682516060337,ADVANCED PROFICIENCY II 0.19573682516060337,CLASSICAL TRADITIONS 0.13747066714243208,BEGINNING TABLA I 0.12473164622250546,JAPANESE/PROFESSIONS I 0.2675341317374426,SELECT GEOMTRY & TOPOLGY 0.11741263543302997,SUSHI&RAMEN:GLOBAL FOOD 0.184346323864029,INTERMED JAPANESE III 0.10637299961882717,INTERMED JAPANESE III 0.11597899279278331,PERFORMING ARTS IN SOUTH ASIA 0.13829463522309346,1ST YR CLASSICAL CHIN I 0.2333349246424978,PERFORMING ARTS IN SOUTH ASIA 0.13829463522309346,INTERMEDIATE JAPANESE I 0.12473461182911501,JAPANESE-ENGLISH TRANSL 0.13036575867756078,THE POLITICS OF SHINTO 0.11133218525176496,PERFORMING ARTS IN SOUTH ASIA 0.13829463522309346,1ST YR CLASSICAL CHIN I 0.2333349246424978,JAPANESE/PROFESSIONS II 0.2675341317374426,
JUSTICE, LAW & MORALITY: Philosophy and the Constitution:	URBAN LAW 0.1766762403475716,LAW SOC POL SEX REPRO: Women, Gender, Sexuality and the Law 0.10538971854402018,AMERICAN CONSTIT LAW: Classic American Constitutional Law 0.13178526427518986,JUSTICE 0.13700894014933618,URBAN LAW 0.1766762403475716,JUSTICE 0.13804625823245667,CLASSIC AMERICAN CONSTITUTIONAL LAW 0.13178526427518986,AMER CON LAW II 0.17833623845447902,
EPIGENETICS OF HUMAN HEALTH AND DISEASE:	CELL BIOLOGY 0.1469862057954525,EPIGENETICS 0.4947173427063246,BIOLOGY OF HUMAN DISEASE 0.10289660473059721,INTEGRATED CELL BIOLOGY AND MICROBIOLOGY 0.11799011533942028,ADVANCED DEVELOPMENTAL PHYSIOLOGY AND PATHOPHYSIOLOGY 0.11003885715958979,CANCER CELL BIOLOGY 0.1741278127364589,CANCER CELL BIOLOGY 0.1741278127364589,
GEOLOGIC FIELD METHOD MA:	PALEONTOLOGY 0.11294149078751085,FIELD METH OF SOC RES 0.1564016229442519,INTRO ARCHAEOLOGY 0.11316126631590982,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.11316126631590982,
UTOPIA AND ITS CRITICS:	GLOBALIZATION & THE CITY 0.13893716563903463,Politics, Groups and Identities 0.4013986899375244,RACE, SCIENCE & JUSTICE 0.11003252451960924,Globalization and its Historical Significance 0.11915707360581035,HISTORY OF GLOBALIZATION 0.15473218685514398,The Holocaust - Representation and Silence 0.10057061090924278,Citizenship and Partisanship 0.4363744767211294,CRIMINAL JUSTICE 0.23108960150053787,SCIENCE AND LITERATURE 0.10057061090924278,
INTERMEDIATE ARABIC III:	INTERMEDIATE ARABIC IV 0.17344897244492116,COLLOQ. ARABIC LEVANTINE 0.17867917003623457,Arabic in Residence II 0.1554206308766486,AR RDGS SOC SCI 0.20447012064590886,ARAB WOMEN & WAR 0.23118749447009643,INTERMEDIATE ARABIC IV 0.17344897244492116,MODERN ARABIC LITERATURE: ARAB WOMEN & WAR 0.2068816263622905,MEDIA ARABIC 0.20447012064590886,MODERN ARABIC LITERATURE: ARAB WOMEN & WAR 0.2068816263622905,ELEMENTARY ARABIC I 0.6670436274225089,ELEMENTARY ARABIC II 0.15781928064603756,ADV INTERMED ARABIC II 0.15781928064603756,ELEMENTARY ARABIC I 0.6670436274225089,INTERMEDIATE ARABIC IV 0.17344897244492116,COLLOQ. ARABIC MOROCCAN 0.17867917003623457,
URBAN EDUCATION:	TOPICS IN PHIL OF EDUC: SOCIO-POL PHIL OF EDUC 0.18576591078562235,PHILOSOPHY OF EDUCATION: AFFIRMATIVE ACTION 0.10415818031332622,INTRO POSITIVE PSYCH 0.10699916858112786,INTRO TO CITY PLANNING: PLANNING URBAN SPACES 0.19763012384079306,Health, Sustainability & Built Environment Design 0.11016915937268647,INTRO POSITIVE PSYCH 0.10699916858112786,INTRO TO CITY PLANNING: PLANNING URBAN SPACES 0.19763012384079306,HEALTHY SCHOOLS 0.13707043507706526,
SELECT GEOMTRY & TOPOLGY:	TOPICS IN LOGIC 0.13869912420784677,CALCULUS FOR WHARTON STU 0.10594638513972844,DYN SYS FOR ENG&BIOL APP 0.17665828632857197,NONLINEAR DYNAM & CHAOS 0.11332735100344749,RDG CLASSICAL JAPANESE I 0.11741263543302997,
Advanced Principles of Nurse Anesthesia Practice: Obstetrics, Pediatrics:	LEADERSHIP DEVELOPMENT IN HEALTHCARE 0.13635228993639317,LEADERSHIP, ADVOCACY, AND THE PRACTICE OF INTEGRATED NURSING CARE OF ASD 0.12996476701384138,CROSS CULTRL APPR HEALTH 0.10718325410833361,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.17142916121602952,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.11842793773558842,CONSUMER BEHAVIOR 0.10168281326243306,HEALTH & BEHAVIORAL CARE PLANNING & INTERVENTION FOR AUTISM SPECTRUM DISORD 0.14940406934038938,DISSERTATION SEMINAR I 0.10169715524619326,PROSEMINAR IN NURSING INNOVATION 0.11466002721869857,TOPICS IN LOGIC 0.11117200551367332,FOUNDA OF PUBLIC HEALTH 0.2078998873972802,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.18873384515318944,PEDIATRIC NURSING 0.18098894281234515,BIOETHICS 0.1074865054711186,INTRODUCTION TO RESEARCH METHODS AND DESIGN 0.12131077898720291,PEDIATRIC NURSING 0.18098894281234515,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE 0.1085653793526875,HEALTH OF POPULATIONS 0.1837390637107939,PEDIATRIC NURSING 0.18098894281234515,CONCEPTS IN HEALTHCARE ECONOMICS 0.11155601930554389,Introduction to Sociological Research 0.14439457473135903,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.14582940058711086,SOCIAL PROB & PUB POLICY: Social Problems & Public Policy 0.177637169035164,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.1523997781124615,Introduction to Sociological Research 0.1486974293051707,INTRO SOC RESEARCH 0.1486974293051707,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.12892241761732462,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.18873384515318944,Health, Sustainability & Built Environment Design 0.13088378354982516,PUBLIC POLICY AND THE NATION'S HEALTH 0.1755625943171314,POLITICAL PSYCHOLOGY 0.10074459032483767,HIGH RISK NEONATAL THEORY II 0.10003539229511312,
PHYS FOR ARCHITECTS I:	HEAT/MASS TRANSFER 0.11106571450488184,GEN.PHYS:MECH,HEAT,SOUND 0.8513389490305228,HEAT/MASS TRANSFER 0.11106571450488184,GEN.PHYS:MECH,HEAT,SOUND 0.8295840841943167,
INTRO ORGANISM BIOL. LAB:	ACCELERATED ELEM GERMAN 0.10743838328812277,INTRO. MOLEC. BIOL. LAB 0.30929073841686217,MOLEC PHYSIOL&CELL ENGR 0.1452025171522095,LECTURE 0.10571179321631437,ADVANCED CELL BIOLOGY 0.16695857322656033,LECTURE 0.10571179321631437,INTRO BIOLOGY A 0.19152493146548275,ACCELERATED ELEM GERMAN 0.10743838328812277,MODELING BIOL SYSTEMS 0.10953719380251652,INTRO BIOLOGY A 0.19152493146548275,NANO-SCALE MATERIALS LAB 0.10086293863370066,INTRO. MOLEC. BIOL. LAB 0.30929073841686217,INTRO BIO-MOLEC BIO LIFE 0.17073876519498124,INTRO BIOLOGY A 0.19152493146548275,
INTRODUCTION TO HINDUISM:	HIST,CLTR, EARLY INDIA: HISTORY, CULTURE AND RELIGION IN EARLY INDIA 0.11795981015751165,
